Semaine,Jour,Date,ActivityNb,Activity1,Activity2,Activity3,Activity4,Activity5
1,Lundi,07/07/2025,1,Formation CDA - Week 1,,,,
1,Mardi,08/07/2025,1,Formation CDA - Week 1,,,,
1,Mercredi,09/07/2025,1,Formation CDA - Week 1,,,,
1,Jeudi,10/07/2025,1,Formation CDA - Week 1,,,,
1,Vendredi,11/07/2025,2,Formation CDA - Week 1,Twitch OBS Bot,,,
1,Samedi,12/07/2025,0,,,,,
1,Dimanche,13/07/2025,0,,,,,
2,Lundi,14/07/2025,1,Formation CDA - Week 2,,,,
2,Mardi,15/07/2025,2,Formation CDA - Week 2,Portfolio,,,
2,Mercredi,16/07/2025,1,Formation CDA - Week 2,,,,
2,Jeudi,17/07/2025,1,Formation CDA - Week 2,,,,
2,Vendredi,18/07/2025,1,Formation CDA - Week 2 - Oiseaux de France & TP frontend,,,,
2,Samedi,19/07/2025,1,Oiseaux de France,,,,
2,Dimanche,20/07/2025,,,,,,
3,Lundi,21/07/2025,1,Formation CDA - Week 3,,,,
3,Mardi,22/07/2025,1,Formation CDA - Week 3,,,,
3,Mercredi,23/07/2025,1,Formation CDA - Week 3 - Oiseaux de France,,,,
3,Jeudi,24/07/2025,1,Formation CDA - Week 3 - Oiseaux de France,,,,
3,Vendredi,25/07/2025,1,Formation CDA - Week 3,,,,
3,Samedi,26/07/2025,0,,,,,
3,Dimanche,27/07/2025,0,,,,,
4,Lundi,28/07/2025,1,Formation CDA - Week 4 - TP Node.js,,,,
4,Mardi,29/07/2025,1,Formation CDA - Week 4,,,,
4,Mercredi,30/07/2025,1,Formation CDA - Week 4 - TP Node.js,,,,
4,Jeudi,31/07/2025,1,Formation CDA - Week 4,,,,
4,Vendredi,01/08/2025,1,Formation CDA - Week 4,,,,
4,Samedi,02/08/2025,0,,,,,
4,Dimanche,03/08/2025,0,,,,,
5,Lundi,04/08/2025,0,,,,,
5,Mardi,05/08/2025,0,,,,,
5,Mercredi,06/08/2025,0,,,,,
5,Jeudi,07/08/2025,0,,,,,
5,Vendredi,08/08/2025,0,,,,,
5,Samedi,09/08/2025,0,,,,,
5,Dimanche,10/08/2025,0,,,,,
6,Lundi,11/08/2025,0,,,,,
6,Mardi,12/08/2025,0,,,,,
6,Mercredi,13/08/2025,0,,,,,
6,Jeudi,14/08/2025,0,,,,,
6,Vendredi,15/08/2025,0,,,,,
6,Samedi,16/08/2025,0,,,,,
6,Dimanche,17/08/2025,0,,,,,
7,Lundi,18/08/2025,1,Formation CDA - Week 5 - TP PHP,,,,
7,Mardi,19/08/2025,1,Formation CDA - Week 5 - TP PHP,,,,
7,Mercredi,20/08/2025,1,Formation CDA - Week 5 ,,,,
7,Jeudi,21/08/2025,1,Formation CDA - Week 5 ,,,,
7,Vendredi,22/08/2025,1,Formation CDA - Week 5 ,,,,
7,Samedi,23/08/2025,0,,,,,
7,Dimanche,24/08/2025,0,,,,,
8,Lundi,25/08/2025,1,Formation CDA - Week 6,,,,
8,Mardi,26/08/2025,1,Formation CDA - Week 6,,,,
8,Mercredi,27/08/2025,1,Formation CDA - Week 6,,,,
